Ticker,Date,Price,Open,High,Low,Vol,Change
BTC,6/30/2023,"30,447.60","30,445.70","30,450.40","30,430.90",49.27K,0.01%
BTC,6/29/2023,"30,445.70","30,077.30","30,823.10","30,051.30",49.57K,1.22%
BTC,6/28/2023,"30,078.60","30,691.90","30,703.40","29,919.50",51.06K,-1.99%
BTC,6/27/2023,"30,689.10","30,267.00","30,993.70","30,231.30",55.82K,1.39%
BTC,6/26/2023,"30,267.00","30,466.30","30,645.90","29,986.30",58.71K,-0.65%
BTC,6/25/2023,"30,465.30","30,533.60","31,040.20","30,315.80",37.12K,-0.22%
BTC,6/24/2023,"30,533.60","30,680.70","30,795.30","30,269.40",38.15K,-0.48%
BTC,6/23/2023,"30,679.40","29,890.20","31,395.40","29,822.60",98.85K,2.64%
BTC,6/22/2023,"29,890.50","29,992.80","30,497.80","29,590.40",79.22K,-0.35%
BTC,6/21/2023,"29,996.90","28,307.70","30,769.50","28,270.50",143.49K,5.97%
BTC,6/20/2023,"28,307.70","26,845.90","28,393.00","26,665.50",100.55K,5.44%
BTC,6/19/2023,"26,845.90","26,339.70","27,029.70","26,295.10",46.45K,1.92%
BTC,6/18/2023,"26,339.70","26,515.00","26,679.30","26,290.60",27.31K,-0.66%
BTC,6/17/2023,"26,515.00","26,341.30","26,767.30","26,183.50",35.86K,0.66%
BTC,6/16/2023,"26,341.30","25,591.90","26,472.80","25,276.00",69.24K,2.93%
BTC,6/15/2023,"25,591.30","25,129.50","25,732.80","24,838.00",68.38K,1.84%
BTC,6/14/2023,"25,129.50","25,929.00","26,051.70","24,847.40",60.82K,-3.08%
BTC,6/13/2023,"25,929.40","25,906.90","26,428.90","25,726.40",56.24K,0.09%
BTC,6/12/2023,"25,906.80","25,927.90","26,080.70","25,635.00",40.75K,-0.08%
BTC,6/11/2023,"25,928.40","25,843.30","26,190.10","25,660.80",39.20K,0.33%
BTC,6/10/2023,"25,844.00","26,479.30","26,525.10","25,468.30",83.57K,-2.40%
BTC,6/9/2023,"26,479.30","26,501.10","26,773.90","26,326.70",38.96K,-0.08%
BTC,6/8/2023,"26,501.10","26,341.80","26,784.40","26,231.30",39.95K,0.60%
BTC,6/7/2023,"26,342.50","27,230.20","27,342.00","26,141.00",77.48K,-3.26%
BTC,6/6/2023,"27,230.20","25,745.60","27,325.20","25,425.60",88.61K,5.76%
BTC,6/5/2023,"25,747.40","27,122.30","27,125.50","25,437.50",85.42K,-5.07%
BTC,6/4/2023,"27,122.30","27,070.90","27,410.20","26,956.10",23.81K,0.19%
BTC,6/3/2023,"27,072.00","27,246.00","27,317.50","26,931.40",20.62K,-0.63%
BTC,6/2/2023,"27,244.70","26,819.00","27,299.40","26,541.30",49.37K,1.59%
BTC,6/1/2023,"26,819.00","27,216.40","27,340.90","26,662.30",51.98K,-1.46%
BTC,5/31/2023,"27,216.10","27,696.90","27,825.00","26,865.10",63.08K,-1.74%
BTC,5/30/2023,"27,698.20","27,738.90","28,033.60","27,583.80",45.19K,-0.15%
BTC,5/29/2023,"27,739.40","28,068.40","28,431.20","27,548.80",54.56K,-1.18%
BTC,5/28/2023,"28,071.20","26,855.30","28,181.90","26,788.50",55.23K,4.52%
BTC,5/27/2023,"26,857.50","26,711.20","26,882.90","26,591.20",18.68K,0.55%
BTC,5/26/2023,"26,711.50","26,475.50","26,911.60","26,330.00",45.88K,0.89%
BTC,5/25/2023,"26,475.80","26,327.10","26,589.20","25,892.50",50.17K,0.56%
BTC,5/24/2023,"26,328.40","27,220.70","27,220.70","26,088.70",72.65K,-3.28%
BTC,5/23/2023,"27,220.70","26,851.60","27,448.10","26,804.10",50.89K,1.39%
BTC,5/22/2023,"26,847.30","26,749.90","27,048.90","26,546.10",35.56K,0.36%
BTC,5/21/2023,"26,749.90","27,116.20","27,257.10","26,677.60",27.42K,-1.35%
BTC,5/20/2023,"27,116.20","26,883.00","27,147.20","26,831.30",17.72K,0.87%
BTC,5/19/2023,"26,882.90","26,828.20","27,154.70","26,711.30",36.67K,0.20%
BTC,5/18/2023,"26,828.00","27,403.80","27,467.00","26,449.80",63.39K,-2.10%
BTC,5/17/2023,"27,403.10","27,035.50","27,465.30","26,597.70",58.14K,1.36%
BTC,5/16/2023,"27,035.30","27,183.90","27,295.30","26,881.90",45.29K,-0.55%
BTC,5/15/2023,"27,183.90","26,920.40","27,651.70","26,752.10",53.27K,0.98%
BTC,5/14/2023,"26,920.00","26,777.40","27,176.10","26,609.90",26.35K,0.53%
BTC,5/13/2023,"26,777.50","26,798.70","27,011.90","26,695.60",27.95K,-0.08%
BTC,5/12/2023,"26,799.20","26,983.10","27,044.00","25,853.10",87.49K,-0.68%
BTC,5/11/2023,"26,983.50","27,604.30","27,607.40","26,766.20",62.85K,-2.25%
BTC,5/10/2023,"27,603.30","27,634.30","28,311.70","26,885.70",91.45K,-0.11%
BTC,5/9/2023,"27,634.90","27,670.50","27,816.00","27,366.30",49.75K,-0.13%
BTC,5/8/2023,"27,670.50","28,424.80","28,627.80","27,280.30",85.72K,-2.65%
BTC,5/7/2023,"28,424.80","28,857.10","29,122.00","28,419.60",36.50K,-1.50%
BTC,5/6/2023,"28,857.10","29,512.80","29,816.40","28,414.90",58.94K,-2.22%
BTC,5/5/2023,"29,513.20","28,842.20","29,653.90","28,825.30",74.52K,2.33%
BTC,5/4/2023,"28,842.10","29,023.60","29,352.70","28,687.40",53.80K,-0.63%
BTC,5/3/2023,"29,023.60","28,669.10","29,244.70","28,164.40",81.22K,1.24%
BTC,5/2/2023,"28,669.10","28,079.00","28,877.40","27,913.20",65.33K,2.11%
BTC,5/1/2023,"28,077.60","29,252.10","29,329.60","27,685.90",84.36K,-4.02%
BTC,4/30/2023,"29,252.10","29,235.10","29,941.30","29,095.00",47.62K,0.06%
BTC,4/29/2023,"29,234.10","29,318.40","29,425.50","29,058.50",25.72K,-0.30%
BTC,4/28/2023,"29,321.80","29,475.90","29,587.20","28,927.80",69.88K,-0.52%
BTC,4/27/2023,"29,475.90","28,424.50","29,859.80","28,392.40",121.63K,3.70%
BTC,4/26/2023,"28,424.60","28,298.80","29,995.70","27,307.80",164.31K,0.44%
